variable,Stargazer_Output
family_connection_ratio,-0.092*** (0.023)
family_company_count,-0.126*** (0.023)
camel_roa,-0.062*** (0.008)
camel_npl_ratio,0.110*** (0.018)
camel_tier1_capital_ratio,0.101*** (0.021)
rw_out_degree_4q_lag,-0.049* (0.024)
Observations,139038
Subjects,1092
Events,770
Log Likelihood,-4858.52
AIC Partial,9729.04
-log2(p) LLR,104.81
C-index,0.732
