variable,Stargazer_Output_HR
rw_page_rank_4q_lag,1.002 (0.005)
rw_out_degree_4q_lag,0.977* (0.011)
camel_roa,0.910*** (0.010)
camel_npl_ratio,1.004* (0.002)
camel_tier1_capital_ratio,1.017*** (0.004)
family_connection_ratio,0.988*** (0.003)
family_ownership_pct,0.997+ (0.002)
foreign_ownership_total_pct,1.000 (0.014)
state_ownership_pct,0.994 (0.004)
Observations,44295
Subjects,791
Events,472
Log Likelihood,-2895.57
AIC Partial,5809.15
-log2(p) LLR,51.71
C-index,0.648
