variable,Stargazer_Output
family_connection_ratio,-0.002 (0.003)
family_ownership_pct,-0.001 (0.001)
state_ownership_pct,-0.001 (0.003)
foreign_ownership_total_pct,-0.000 (0.008)
rw_page_rank_4q_lag,-0.000 (0.006)
rw_out_degree_4q_lag,-0.004 (0.010)
camel_roa,-0.010 (0.038)
camel_npl_ratio,0.006** (0.002)
camel_tier1_capital_ratio,0.012** (0.004)
Observations,138313
Subjects,1092
Events,76
Log Likelihood,-484.13
AIC Partial,986.26
-log2(p) LLR,4.59
C-index,0.745
