covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.07695473851746203,0.9259317617023406,0.023644010731388453,-0.12329614800106194,-0.030613329033862116,0.8840018284174845,0.9698505136171534,0.0,-3.2547243947618947,0.0011350245433512578,9.783060790504212
epu_index,0.02855806139773684,1.0289697525222246,0.023996813765893965,-0.018474829327130314,0.075590952122604,0.9816947841990824,1.0785213170603272,0.0,1.19007721926507,0.23401604310367513,2.095320656904646
stake_fragmentation_index,-0.12821003144391968,0.8796686016742031,0.02271758650019037,-0.17273568279996615,-0.08368438008787323,0.8413599713688544,0.9197214927071975,0.0,-5.6436466718348495,1.6648556721783952e-08,25.840027644900058
family_company_count,-0.10856964426571894,0.8971164136273765,0.02376600047788851,-0.15515014925894213,-0.06198913927249575,0.8562865970327389,0.9398930946584406,0.0,-4.568275775586655,4.917527521864743e-06,17.633635442484493
camel_roa,-0.06122519664207729,0.9406113933960659,0.008010321910326265,-0.07692513909088886,-0.045525254193265724,0.9259591691571534,0.9554954719999424,0.0,-7.643287913704277,2.1174378060635084e-14,45.424673733458974
camel_npl_ratio,0.10621538752282197,1.1120613748578834,0.01802507654891819,0.07088688666836479,0.14154388837727916,1.0734597963868946,1.1520510648030675,0.0,5.89264557265898,3.800610200225974e-09,27.971121787491604
camel_tier1_capital_ratio,0.10109666061645604,1.106383580313877,0.021121927103159792,0.059698444210182416,0.14249487702272967,1.0615163918615844,1.1531471733954788,0.0,4.786336972128467,1.6985278768038127e-06,19.167283672922437
rw_out_degree_4q_lag,-0.04900576251553329,0.9521756427557637,0.023917342448175193,-0.09588289231986771,-0.002128632711198869,0.9085704104117873,0.9978736312207659,0.0,-2.0489635343776356,0.04046568082071251,4.627157321273427
family_connection_ratio:epu_index,0.001539940077188058,1.0015411263937828,0.019735010702479353,-0.037139970134183985,0.0402198502885601,0.9635412589106357,1.041039621896626,0.0,0.07803087114589667,0.9378034962283427,0.09264243730240834
stake_fragmentation_index:epu_index,0.02673973406129278,1.0271004487109914,0.020740046386819564,-0.013910009894563643,0.0673894780171492,0.9861862872777772,1.0697120263701032,0.0,1.289280340196638,0.19730064321609916,2.3415324355153797
family_company_count:epu_index,0.009878129575717886,1.0099270793422892,0.019404874687319204,-0.028154725935940695,0.04791098508737647,0.9722379247400401,1.049077267646769,0.0,0.5090540255935327,0.6107143558928213,0.7114303362757853
