variable,Stargazer_Output
rw_page_rank_4q_lag,-17.394*** (0.016)
rw_out_degree_4q_lag,0.046*** (0.003)
family_connection_ratio_temporal,0.164*** (0.001)
Observations,117633
Subjects,35731
Events,2289
Log Likelihood,-995658.08
AIC Partial,1991322.15
-log2(p) LLR,-0.00
C-index,0.167
