variable,Stargazer_Output
camel_roa,-0.115*** (0.012)
family_rho_F,-0.038*** (0.007)
network_out_degree,-0.584*** (0.088)
Observations,44715
Subjects,796
Events,473
Log Likelihood,-2326.07
AIC Partial,4658.14
-log2(p) LLR,136.82
C-index,0.699
