covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.09782777985621284,0.9068050604047644,0.038443035664639164,-0.1731747452152944,-0.022480814497131255,0.8409906429127199,0.9777699960224507,0.0,-2.5447464843729084,0.010935710101200827,6.514809286149666
stake_fragmentation_index,-0.08546500399031749,0.9180852718130281,0.03584057244159172,-0.15571123516113605,-0.015218772819498932,0.8558062814566563,0.984896447459285,0.0,-2.3845881404265286,0.017098251582323372,5.870007382936969
family_company_count,-0.12721329786759367,0.8805458340163705,0.039119586683170116,-0.2038862788566998,-0.050540316878487535,0.8155551117736451,0.9507155980144045,0.0,-3.2519080249465646,0.0011463310986147657,9.768760481981934
camel_roa,-0.12061967283357543,0.8863710064680622,0.014510888470226618,-0.14906049161889712,-0.09217885404825374,0.8615169987647169,0.9119420304343526,0.0,-8.31235613732835,9.382035744481802e-17,53.2428766157379
camel_npl_ratio,0.06319992240751783,1.0652397832465066,0.030072101335120654,0.004259686851242478,0.12214015796379318,1.0042687722129626,1.1299124569119186,0.0,2.1016131098796147,0.0355871805159902,4.812498553547697
camel_tier1_capital_ratio,0.11680859403852863,1.1239042871207303,0.02890862318781009,0.06014873374778137,0.17346845432927588,1.0619944892198705,1.1894231650262717,0.0,4.040614223640486,5.33113917007834e-05,14.195196630116623
rw_out_degree_4q_lag,-0.07743632476819844,0.9254859530530588,0.04083651356178567,-0.15747442060347983,0.002601771067082967,0.8542986657733141,1.0026051586106595,0.0,-1.8962521041625462,0.057926716322354584,4.109627304149171
state_ownership_pct,-0.05120742959264289,0.9500815750573249,0.036792596839534,-0.12331959429583175,0.02090473511054597,0.8839811020930171,1.0211247696655232,0.0,-1.3917862285170373,0.16398714143747667,2.6083454002371522
foreign_ownership_total_pct,-0.0005723014715227462,0.999427862261728,0.03229874356250392,-0.06387667559992535,0.06273207265687986,0.9381206855678726,1.0647415276430132,0.0,-0.017719001063160215,0.9858630223707069,0.020540885073719022
