variable,Stargazer_Output_HR
family_connection_ratio,0.997 (0.003)
family_ownership_pct,0.998 (0.001)
state_ownership_pct,0.998 (0.003)
foreign_ownership_total_pct,1.006 (0.008)
rw_page_rank_4q_lag,0.997 (0.006)
rw_out_degree_4q_lag,0.996 (0.009)
camel_roa,0.972 (0.030)
camel_npl_ratio,1.010*** (0.002)
camel_tier1_capital_ratio,1.001 (0.004)
Observations,138313
Subjects,1092
Events,172
Log Likelihood,-1082.14
AIC Partial,2182.27
-log2(p) LLR,7.08
C-index,0.637
