covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.011389983405430099,0.9886746368815333,0.0031711986042895763,-0.017605418457661354,-0.005174548353198843,0.9825486514419123,0.994838816559731,0.0,-3.5916966506049928,0.00032853213324997874,11.571677894197613
family_ownership_pct,-0.0032490039311170254,0.9967562683706997,0.0018186660523430995,-0.006813523893615137,0.0003155160313810866,0.993209635531359,1.0003155658117995,0.0,-1.7864763720261525,0.07402215959545114,3.755898962915328
state_ownership_pct,-0.00534281092202287,0.9946714365071847,0.004059135876437169,-0.013298571048194149,0.002612949204148407,0.9867894642677055,1.0026163659311835,0.0,-1.3162434283211095,0.18809235173787742,2.4104869080898834
foreign_ownership_total_pct,-0.00018490783473882325,0.9998151092596612,0.011965738873049357,-0.02363732507432646,0.02326750940484881,0.9766398483198385,1.023540309586611,0.0,-0.01545310629795661,0.9876706957735818,0.01789798907530951
rw_page_rank_4q_lag,0.002163928572512761,1.0021662715556574,0.005212406909640549,-0.00805220124315044,0.01238005838817596,0.9919801308894661,1.0124570085322389,0.0,0.4151495863668071,0.6780324015374583,0.5605738769527904
rw_out_degree_4q_lag,-0.023380359226129604,0.9768908436540782,0.010496289804781253,-0.04395270921479581,-0.002808009237463393,0.9569992136471914,0.9971959295329117,0.0,-2.2274879658409796,0.025914679204506335,5.270086654934319
camel_roa,-0.09348372821185602,0.9107528368828426,0.011361091324670353,-0.11575105803328037,-0.07121639839043167,0.8906969275454761,0.9312603470811857,0.0,-8.22841094577404,1.8971326556252896e-16,52.22702895651668
camel_npl_ratio,0.004330322137991028,1.0043397115310404,0.001917995069473912,0.0005711208792967613,0.008089523396685293,1.0005712839998784,1.0081223320000616,0.0,2.2577337173128367,0.023962265794852913,5.383091858590969
camel_tier1_capital_ratio,0.016125255692431728,1.0162559692795334,0.0037959968516838335,0.008685238577703982,0.023565272807159476,1.0087230646925849,1.023845127811199,0.0,4.247963399990405,2.1572262577154396e-05,15.500462974913258
crisis_2014,-0.02062460014745641,0.9795866322312421,0.09341970371610891,-0.20372385487743253,0.16247465458251972,0.8156875882385973,1.1764185012527817,0.0,-0.22077355554596978,0.8252687551494173,0.2770640742192032
