model_key,model_name,aic_partial,c_index,log_likelihood
model_1_baseline,M1: Baseline (2010-2021),9698.359156425015,0.6941335101115442,-4840.179578212507
model_2_crisis_dummies,M2: Crisis Indicators,9701.891213398987,0.6961454250930148,-4838.9456066994935
model_3_family_crisis,M3: Family × Crisis,9705.825010702372,0.698320906811638,-4837.912505351186
model_4_state_crisis,M4: State × Crisis,9707.340897679182,0.6963179127609921,-4838.670448839591
model_5_foreign_crisis,M5: Foreign × Crisis,9706.040315327444,0.6964523884407579,-4838.020157663722
model_6_full_interactions,M6: Full Interactions,9715.430413414562,0.698853197186858,-4836.715206707281
