covariate,Stargazer_Output
family_connection_ratio,0.887***
stake_fragmentation_index,0.894***
camel_roa,0.886***
camel_npl_ratio,1.066**
camel_tier1_capital_ratio,1.129***
rw_out_degree_4q_lag,0.921**
