variable,Stargazer_Output
family_connection_ratio,-0.011*** (0.003)
family_ownership_pct,-0.004* (0.002)
state_ownership_pct,-0.005 (0.003)
foreign_ownership_total_pct,0.000 (0.009)
rw_page_rank_4q_lag,0.002 (0.006)
rw_out_degree_4q_lag,-0.019* (0.009)
camel_roa,-0.092*** (0.011)
camel_npl_ratio,0.006*** (0.002)
camel_tier1_capital_ratio,0.015*** (0.004)
Observations,88587
Subjects,930
Events,608
Log Likelihood,-3813.08
AIC Partial,7644.15
-log2(p) LLR,54.32
C-index,0.695
