variable,Stargazer_Output_HR
rw_page_rank_4q_lag,1.040*** (0.003)
rw_out_degree_4q_lag,0.942** (0.022)
family_connection_ratio_temporal,1.007 (0.015)
Observations,6418
Subjects,1856
Events,497
Log Likelihood,-3617.89
AIC Partial,7241.78
-log2(p) LLR,62.54
C-index,0.779
