variable,Stargazer_Output_HR
family_connection_ratio_temporal_lag,1.012 (0.013)
camel_roa,0.933*** (0.010)
camel_npl_ratio,1.024*** (0.002)
camel_tier1_capital_ratio,1.045*** (0.003)
Observations,20656
Subjects,2418
Events,1117
Log Likelihood,-8218.70
AIC Partial,16445.41
-log2(p) LLR,221.62
C-index,0.551
