covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.07486000569862628,0.9278733742213457,0.02349193586601958,-0.12090335392314941,-0.028816657474103134,0.8861195954371441,0.9715945827427264,0.0,-3.186625662762393,0.0014394294258410745,9.440287228296386
stake_fragmentation_index,-0.12423175920205931,0.8831751331980737,0.022559676421163112,-0.16844791249041646,-0.08001560591370216,0.8449752749304322,0.9231019404250065,0.0,-5.5068058992866655,3.6540275922580286e-08,24.70593723102744
family_company_count,-0.10519499086675566,0.9001489846419493,0.02360985999443489,-0.15146946613588108,-0.05892051559763023,0.8594441240223946,0.9427817026192373,0.0,-4.455553353198677,8.367708192758896e-06,16.86673602799268
epu_index,0.026851235196975427,1.027214977962435,0.02393271299145808,-0.02005602031861627,0.07375849071256713,0.9801437638028078,1.076546778052707,0.0,1.1219469855573418,0.2618849814641822,1.9329947682588622
camel_roa,-0.06156011445689947,0.940296418631867,0.00801048577779594,-0.07726037808004983,-0.045859850833749105,0.9256488035675108,0.9551758199052549,0.0,-7.684941483516065,1.5306694050088277e-14,45.89283060617083
camel_npl_ratio,0.10516503982550379,1.1108939369687036,0.01797683935214266,0.06993108213944182,0.14039899751156576,1.0724342688319055,1.1507328468139968,0.0,5.850029460989157,4.914859503879665e-09,27.600202677695712
camel_tier1_capital_ratio,0.10115232346732747,1.10644516649213,0.021118018360925778,0.05976176805505736,0.14254287887959757,1.061583613289252,1.1532025279295934,0.0,4.789858676062498,1.6689881776126704e-06,19.192594834012507
rw_out_degree_4q_lag,-0.04861115860489552,0.9525514491304653,0.02396083309424001,-0.09557352850918135,-0.0016487887006096796,0.908851532698518,0.998352569804748,0.0,-2.028775811496356,0.04248113007241058,4.557034044909087
