covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.10177027736084997,0.9032370218301008,0.03851546936029148,-0.17725921015467722,-0.026281344567022705,0.8375626516382023,0.974061004282845,0.0,-2.6423221383814335,0.0082339699488654,6.924196101329839
epu_index,-0.011658385712509742,0.9884093099368181,0.046051411306021146,-0.10191749330955184,0.07860072188453236,0.9031040607222672,1.0817723078207047,0.0,-0.25316022640516617,0.8001444002765541,0.3216677114326978
stake_fragmentation_index,-0.08591688848163594,0.9176704970391899,0.03588533307235649,-0.15625084887667873,-0.015582928086593131,0.8553446012250301,0.9845378575255697,0.0,-2.3942062432136155,0.01665637985183162,5.907781314721625
family_company_count,-0.13298824103952733,0.8754753867287114,0.039177125202438476,-0.20977399545412323,-0.05620248662493145,0.8107674623976854,0.9453476962446673,0.0,-3.3945380206521594,0.0006874449397112585,10.506468212768903
camel_roa,-0.11976280006311567,0.8871308391415026,0.014455884436578212,-0.14809581292348206,-0.09142978720274927,0.8623484868541035,0.9126253918841228,0.0,-8.28470928835567,1.1839793552921817e-16,52.90720559287051
camel_npl_ratio,0.06295387162686196,1.0649777124089423,0.030135346667381917,0.0038896774971642553,0.12201806575655966,1.0038972521104303,1.1297745118272546,0.0,2.089037578419576,0.03670434058994186,4.767905506071527
camel_tier1_capital_ratio,0.11856785215634809,1.125883265117643,0.028940424918042055,0.061845661619700114,0.17529004269299606,1.0637981471743665,1.1915917789845436,0.0,4.096963071279249,4.186056496122934e-05,14.544048691718878
rw_out_degree_4q_lag,-0.08000038524170032,0.9231159907637934,0.04078342652510704,-0.15993443239704563,-6.633808635499172e-05,0.8521996638235965,0.9999336641139672,0.0,-1.9615905787722518,0.04981017001294192,4.327415854523919
family_connection_ratio:epu_index,0.029910647970106934,1.030362464862537,0.03458216682963725,-0.03786915352333778,0.09769044946355165,0.9628389167291198,1.102621415225036,0.0,0.8649153801569548,0.38708523530657846,1.3692768153021349
stake_fragmentation_index:epu_index,0.026771223496421106,1.0271327920331752,0.035967639760467546,-0.04372405504300614,0.09726650203584836,0.9572180605289641,1.1021540607861768,0.0,0.7443141578015267,0.4566864380311003,1.1307241474653598
family_company_count:epu_index,0.05375668283358199,1.0552278158740078,0.03503969308731669,-0.014919853646895818,0.12243321931405979,0.9851908958964084,1.1302436391082045,0.0,1.5341653449881465,0.12498898086081393,3.0001271836655694
