variable,Stargazer_Output
camel_tier1_capital_ratio,1.158*** (0.315)
camel_npl_ratio,0.012*** (0.002)
camel_roa,-0.454*** (0.060)
camel_liquid_assets_ratio,0.325 (0.280)
Observations,151127
Subjects,1101
Events,774
Log Likelihood,-4681.51
AIC Partial,9371.02
-log2(p) LLR,69.13
C-index,0.644
