variable,coefficient,std_error,t_statistic,p_value
survived_to_2020,0.40793377592705754,0.05810017468677732,7.021214275624145,2.1994823053277293e-12
camel_roa,-0.08571801983748716,0.07822800916384477,-1.0957458940052394,0.27318999237771746
camel_npl_ratio,-0.00240324135080818,0.001146678995114319,-2.095827481839054,0.03609749754245179
camel_tier1_capital_ratio,-0.44920654287972034,0.895728652059972,-0.5014984636771946,0.6160203588021809
state_ownership_pct,-0.00360865979804724,0.0005881725644380209,-6.1353759359639515,8.495804581185954e-10
foreign_ownership_total_pct,-7.082090265057846e-05,0.00027292996147885214,-0.2594837967471226,0.7952619823200751
rw_page_rank_4q_lag,0.0031194624224487088,0.0027775810433484202,1.123086013968523,0.2614009654843318
rw_out_degree_4q_lag,0.0027207731432724344,0.008335432705816229,0.326410546314405,0.74411375931033
