covariate,Stargazer_Output
family_connection_ratio,0.893***
family_company_count,0.863***
camel_roa,0.888***
camel_npl_ratio,1.068**
camel_tier1_capital_ratio,1.128***
rw_out_degree_4q_lag,0.924*
