covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.1135400623063425,0.8926684333385756,0.03770728099013059,-0.1874449750019303,-0.03963514961075472,0.8290747367610977,0.9611400475090891,0.0,-3.0110912090442215,0.0026031064748666052,8.585549961156552
family_company_count,-0.1478597854513703,0.8625520488096969,0.037971895340632965,-0.22228333274373518,-0.0734362381590054,0.8006884709316656,0.9291953911114847,0.0,-3.8939269195011317,9.863437601698066e-05,13.307549932641345
camel_roa,-0.11884089679854064,0.8879490650628351,0.014489215698241865,-0.14723923773132708,-0.09044255586575421,0.8630874696269064,0.9135268091504026,0.0,-8.20202413115852,2.363728333458416e-16,51.909785284075795
camel_npl_ratio,0.06614364873593953,1.0683801776055462,0.030187103026245686,0.0069780140068979105,0.12530928346498116,1.0070024170752667,1.133498971348689,0.0,2.191122767840028,0.028442909545216045,5.135787137906261
camel_tier1_capital_ratio,0.1201430098739689,1.1276581062922537,0.029014280086410316,0.06327606586724699,0.17700995388069082,1.0653208973771602,1.1936429744477612,0.0,4.14082339855268,3.460613262193419e-05,14.818612751046953
rw_out_degree_4q_lag,-0.07923917719273511,0.9238189415980648,0.040830170319703235,-0.15926484050198972,0.0007864861165194914,0.8527704808973778,1.0007867954778227,0.0,-1.9407016079601562,0.05229448123814627,4.257197486332377
