covariate,Stargazer_Output
family_connection_ratio,0.912***
family_company_count,0.881***
camel_roa,0.940***
camel_npl_ratio,1.116***
camel_tier1_capital_ratio,1.106***
rw_out_degree_4q_lag,0.957*
