covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.07689895295499972,0.9259834167672589,0.023655236460919698,-0.12326236446418107,-0.03053554144581839,0.8840316936303311,0.9699259588836853,0.0,-3.2508215710311252,0.0011507205180730168,9.763246804059628
epu_index,0.028680612916698732,1.0290958620556616,0.024014239286880974,-0.018386431201714806,0.07574765703511227,0.9817815680134425,1.0786903398919636,0.0,1.1943169456284632,0.2323540114339364,2.1056035426753077
stake_fragmentation_index,-0.12841609762388756,0.8794873504013386,0.0227192038853877,-0.17294491899666992,-0.0838872762511052,0.8411839468243818,0.9195349036748249,0.0,-5.65231503144707,1.583011111134072e-08,25.912753377330837
family_company_count,-0.10893992612390464,0.8967842891883516,0.023761596295966324,-0.155511799079179,-0.0623680531686303,0.8559769771292166,0.939537023568396,0.0,-4.584705706089193,4.5462631248822505e-06,17.746887383633613
camel_roa,-0.06124886002036722,0.9405891356161883,0.00801445995099662,-0.07695691287985924,-0.04554080716087519,0.9259297483933243,0.9554806113253792,0.0,-7.642294102767431,2.1338506930701824e-14,45.41353409504566
camel_npl_ratio,0.10629732422059075,1.1121524972277375,0.018035028567752947,0.07094931776764399,0.14164533067353752,1.0735268157540396,1.1521679374363016,0.0,5.89393711361527,3.771007326368472e-09,27.982402900614826
camel_tier1_capital_ratio,0.10132752643379576,1.10663903595029,0.021129660568472,0.05991415271403452,0.142740900153557,1.061745394672326,1.1534309091747332,0.0,4.79551131952345,1.6226040642808544e-06,19.233257562158315
rw_out_degree_4q_lag,-0.044616936118520995,0.9563637600886813,0.023628036121267203,-0.09092703594161619,0.0016931637045741951,0.9130843308072292,1.0016945979155767,0.0,-1.8883048887148954,0.058985031399759996,4.083507300812031
family_connection_ratio:epu_index,0.0015688744374307325,1.0015701057647795,0.019749798868270222,-0.037140020046288816,0.040277768921150287,0.9635412108182645,1.0410999192341512,0.0,0.07943748935850008,0.9366846506471889,0.09436467082608384
stake_fragmentation_index:epu_index,0.026782426020375904,1.0271442985773338,0.020735316514761994,-0.013858047556596201,0.06742289959734801,0.986237533154352,1.0697477784338243,0.0,1.2916333349099745,0.19648415415257525,2.347515126664536
family_company_count:epu_index,0.010005439527269688,1.0100556612945386,0.019399400249333305,-0.028016686283100934,0.04802756533764031,0.9723721413890456,1.0491995764664355,0.0,0.5157602502486407,0.6060218681562108,0.7225582409394804
