variable,Stargazer_Output
camel_roa,-0.148*** (0.041)
family_rho_F,-0.008 (0.011)
network_out_degree_within,-0.313* (0.136)
network_page_rank_within,-0.013 (0.014)
camel_npl_ratio,0.007+ (0.004)
camel_tier1_capital_ratio,0.036** (0.012)
foreign_FEC_d,-0.025 (0.021)
family_FOP,-0.012+ (0.007)
Observations,44715
Subjects,796
Events,473
Log Likelihood,-348.12
AIC Partial,712.25
-log2(p) LLR,27.08
C-index,0.651
