variable,Stargazer_Output_HR
camel_roa,0.904*** (0.011)
family_rho_F,0.970*** (0.008)
network_out_degree,0.621*** (0.056)
network_page_rank,0.988+ (0.007)
camel_npl_ratio,1.009*** (0.002)
camel_tier1_capital_ratio,1.019*** (0.005)
foreign_FEC_d,0.893*** (0.027)
family_FOP,0.997 (0.004)
Observations,44715
Subjects,796
Events,473
Log Likelihood,-2295.65
AIC Partial,4607.29
-log2(p) LLR,165.75
C-index,0.725
