variable,Stargazer_Output
family_connection_ratio,-0.089*** (0.023)
stake_fragmentation_index,-0.142*** (0.022)
camel_roa,-0.062*** (0.008)
camel_npl_ratio,0.108*** (0.018)
camel_tier1_capital_ratio,0.103*** (0.021)
rw_out_degree_4q_lag,-0.046* (0.023)
Observations,138896
Subjects,1092
Events,770
Log Likelihood,-4853.71
AIC Partial,9719.42
-log2(p) LLR,111.59
C-index,0.744
