variable,Stargazer_Output
camel_tier1_capital_ratio,1.930*** (0.458)
camel_npl_ratio,0.019*** (0.002)
camel_roa,-0.516*** (0.056)
camel_liquid_assets_ratio,0.130 (0.497)
network_in_degree,-0.000 (0.000)
network_out_degree,-0.294*** (0.046)
network_page_rank,-0.027*** (0.007)
Observations,151127
Subjects,1101
Events,774
Log Likelihood,-4566.79
AIC Partial,9147.58
-log2(p) LLR,223.62
C-index,0.715
