covariate,Stargazer_Output
family_connection_ratio,0.927***
stake_fragmentation_index,0.882***
family_company_count,0.899***
camel_roa,0.940***
camel_npl_ratio,1.112***
camel_tier1_capital_ratio,1.106***
rw_out_degree_4q_lag,0.958*
state_ownership_pct,0.963*
foreign_ownership_total_pct,0.994
