variable,Stargazer_Output
camel_tier1_capital_ratio,1.150*** (0.315)
camel_npl_ratio,0.012*** (0.002)
camel_roa,-0.455*** (0.060)
camel_liquid_assets_ratio,0.321 (0.280)
state_SOP,-0.004 (0.003)
state_SCP,-0.000 (0.000)
Observations,151127
Subjects,1101
Events,774
Log Likelihood,-4679.78
AIC Partial,9371.57
-log2(p) LLR,66.80
C-index,0.651
