covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.11259617101089239,0.8935114130805609,0.02268213885263037,-0.15705234625438458,-0.06813999576740021,0.8546593194325786,0.9341296902200352,0.0,-4.964089662903858,6.902405216565227e-07,20.466397492268193
camel_roa,-0.06256680159107682,0.939350310622198,0.00802731923272648,-0.07830005817962642,-0.04683354500252722,0.924686925036872,0.954246223424036,0.0,-7.794233638547597,6.480055042379347e-15,47.13291535572053
camel_npl_ratio,0.11213021681095302,1.1186585193061658,0.018100881680166655,0.07665314062940551,0.14760729299250053,1.0796675186409557,1.1590576369209236,0.0,6.194737847152241,5.838211809198017e-10,30.673754396386233
camel_tier1_capital_ratio,0.10231472157734624,1.107732044049621,0.021109855769475813,0.06094016455033857,0.1436892786043539,1.0628353170554208,1.154525317067881,0.0,4.846775018012681,1.2548459366874331e-06,19.604058320702556
rw_out_degree_4q_lag,-0.05255845142328697,0.9487988607911251,0.02363189351405347,-0.09887611159731746,-0.006240791249256465,0.9058549259919958,0.9937786420410669,0.0,-2.2240474040741334,0.02614525502446118,5.257307047272852
