variable,Stargazer_Output
family_connection_ratio,-0.113*** (0.023)
camel_roa,-0.063*** (0.008)
camel_npl_ratio,0.112*** (0.018)
camel_tier1_capital_ratio,0.102*** (0.021)
rw_out_degree_4q_lag,-0.053* (0.024)
Observations,139038
Subjects,1092
Events,770
Log Likelihood,-4873.86
AIC Partial,9757.72
-log2(p) LLR,85.72
C-index,0.694
