variable,Stargazer_Output
rw_page_rank_4q_lag,0.003 (0.005)
rw_out_degree_4q_lag,-0.022* (0.011)
camel_roa,-0.094*** (0.011)
camel_npl_ratio,0.004* (0.002)
camel_tier1_capital_ratio,0.015*** (0.004)
family_rho_F,-0.012*** (0.003)
foreign_FEC_d,-0.005*** (0.001)
Observations,44295
Subjects,791
Events,472
Log Likelihood,-2880.65
AIC Partial,5775.30
-log2(p) LLR,85.30
C-index,0.728
