variable,Stargazer_Output_HR
family_connection_ratio,0.968 (0.023)
stake_fragmentation_index,0.966 (0.024)
group_total_capital,0.961 (0.023)
group_sector_count,1.020 (0.026)
epu_index,1.028 (0.025)
camel_roa,0.939*** (0.008)
Observations,139038
Subjects,1092
Events,770
Log Likelihood,-4125.19
AIC Partial,8262.37
-log2(p) LLR,21.86
C-index,0.584
