variable,Stargazer_Output_HR
family_connection_ratio,0.893*** (0.020)
camel_roa,0.939*** (0.008)
camel_npl_ratio,1.119*** (0.020)
camel_tier1_capital_ratio,1.108*** (0.023)
rw_out_degree_4q_lag,0.954* (0.022)
Observations,138896
Subjects,1092
Events,770
Log Likelihood,-4874.31
AIC Partial,9758.62
-log2(p) LLR,85.08
C-index,0.695
