variable,Model 3: +Foreign
const,0.005*** (0.000)
camel_tier1_capital_ratio,7.018*** (3.393)
camel_npl_ratio,1.022*** (0.002)
camel_roa,0.548*** (0.071)
camel_liquid_assets_ratio,0.588 (0.385)
foreign_FOP_t,1.000 (0.000)
foreign_FEC_d,0.993** (0.002)
Observations,151428
Subjects,1101
Events,774
Log Likelihood,-4710.19
AIC,9434.37
AUC,0.690
Optimal Threshold,0.022
Accuracy,0.988
Precision,0.041
Recall,0.059
F1 Score,0.049
