variable,Stargazer_Output_HR
family_connection_ratio,0.6598*** (0.0580)
family_ownership_pct,0.9841 (0.0672)
state_ownership_pct,0.8420 (0.0932)
foreign_ownership_total_pct,0.9967 (0.0452)
rw_page_rank_4q_lag,1.1496*** (0.0418)
rw_out_degree_4q_lag,0.3488*** (0.0790)
camel_roa,0.8969*** (0.0132)
camel_npl_ratio,1.1296*** (0.0380)
camel_tier1_capital_ratio,1.1486*** (0.0369)
Observations,49492
Subjects,826
Events,505
Log Likelihood,-2731.99
AIC,5483.99
