variable,Stargazer_Output_HR
family_connection_ratio_temporal_lag,1.009 (0.015)
camel_roa,0.930*** (0.010)
camel_npl_ratio,1.024*** (0.002)
camel_tier1_capital_ratio,1.042*** (0.004)
rw_page_rank_4q_lag,1.031*** (0.003)
rw_out_degree_4q_lag,0.936*** (0.015)
Observations,20656
Subjects,2418
Events,1117
Log Likelihood,-8182.73
AIC Partial,16377.46
-log2(p) LLR,266.61
C-index,0.600
