covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.0747984417569109,0.9279304995220868,0.023503747057210655,-0.12086493949078306,-0.02873194402303874,0.8861536358722293,0.9716768933592248,0.0,-3.1824049831221988,0.0014605743092624764,9.419248525004216
stake_fragmentation_index,-0.1244246680823415,0.8830047773041461,0.022561285042670482,-0.16864397421091787,-0.08020536195376513,0.8448096238636954,0.9229267928743953,0.0,-5.514963702068182,3.4885195061764435e-08,24.77280985855539
family_company_count,-0.10555636653067073,0.8998237514742172,0.023606468673817077,-0.15182419493352522,-0.059288538127816245,0.8591393085082546,0.9424348015492465,0.0,-4.471501773060522,7.767221582144264e-06,16.974169945787963
epu_index,0.02695544158793261,1.0273220259054687,0.0239510449904315,-0.01998774398541161,0.07389862716127682,0.980210686709613,1.0766976520662803,0.0,1.1254390611641945,0.2604030266085209,1.9411818781513699
camel_roa,-0.06158459886138302,0.9402733963158637,0.008014594116979181,-0.07729291468136881,-0.04587628304139722,0.9256186865913824,0.955160124386798,0.0,-7.684057104141309,1.5412790977327746e-14,45.88286519696867
camel_npl_ratio,0.10524174657128663,1.11097915329581,0.017986635476433397,0.06998858883442674,0.1404949043081465,1.0724959427556093,1.1508432152075099,0.0,5.851107991218111,4.883090277397039e-09,27.60955840356586
camel_tier1_capital_ratio,0.10138366998854015,1.1067011683437376,0.02112575843406948,0.05997794431167068,0.1427893956654096,1.0618131272676974,1.1534868467534103,0.0,4.799054685063465,1.594162670466022e-06,19.258769717975404
rw_out_degree_4q_lag,-0.04411221035197515,0.956846583357011,0.02368229597576443,-0.09052865753569128,0.0023042368317409898,0.9134481563527198,1.002306893625665,0.0,-1.8626661197511392,0.06250925541807972,3.99978637188511
