covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.011390986408824771,0.9886736452380136,0.0031711935130174537,-0.017606411482346034,-0.005175561335303511,0.9825476757473319,0.9948378088063234,0.0,-3.5920187027583887,0.00032812629418371795,11.573461171647137
family_ownership_pct,-0.0032491259341749846,0.9967561467633944,0.001818658792666449,-0.006813631667968322,0.00031537979961835305,0.9932095284888387,1.000315429537056,0.0,-1.7865505873211316,0.07401015410957058,3.756132969323089
state_ownership_pct,-0.005339987444943419,0.994674244943152,0.00405973125101232,-0.013296914483839305,0.0026169395939524666,0.9867910989493118,1.00262036676929,0.0,-1.3153549126218291,0.1883906510124854,2.408200722678637
foreign_ownership_total_pct,-0.00018845147975603326,0.9998115662761087,0.011965905645987172,-0.02364119558829538,0.023264292628783316,0.9766360682289784,1.0235370170919365,0.0,-0.015749036080627245,0.9874346067027804,0.01824288666922354
rw_page_rank_4q_lag,0.002163325312181979,1.0021656669886834,0.0052124157257700835,-0.008052821782777591,0.012379472407141549,0.9919795153266767,1.0124564152518076,0.0,0.4150331489268095,0.6781176365554071,0.5603925280836936
rw_out_degree_4q_lag,-0.023381832178534692,0.9768894047414203,0.010496350118098824,-0.04395430037913113,-0.0028093639779382534,0.9569976909053852,0.9971945785921397,0.0,-2.22761549638264,0.025906166402311363,5.270560648651612
camel_roa,-0.09348046845029791,0.9107558057247681,0.011361238625079923,-0.11574808697521992,-0.0712128499253759,0.8906995738616934,0.9312636516318481,0.0,-8.228017343455834,1.9033752904258908e-16,52.22228947090236
camel_npl_ratio,0.004333312253259339,1.0043427146270363,0.0019181078545762158,0.000573889939826564,0.008092734566692114,1.0005740546461643,1.008125569257455,0.0,2.25915985012049,0.023873443313437513,5.388449525619121
camel_tier1_capital_ratio,0.01612543938058647,1.0162561559537344,0.0037957827192424344,0.008685841957731788,0.02356503680344115,1.0087236733361193,1.0238448861799707,0.0,4.248251434108641,2.1544551434031994e-05,15.502317413149546
