,M2: Simple Lagged Network (t-4Q),7d330234,ed51da28,8e338c55,b4f04079,d0eeaec1,d8167c3f,509da603,d8eb9a06,9668b710,8c228f20,afa1a440,0bc1cd9e,b8126291,e325f6da,3ec3edb4,0e9036a0,62a8c42c,6127fc17,859ec2e6,fd3d2e4f,58d7f342,d6a6eef0,9d33896b,a9458246,f5606bc4,f2b88962,16573b01,9ebe2308,d340bd76,d236b068,7f1da08c,66c25baa,dad181ac,7487246f,493f8a87,5a51f1df,c2b91e3e,ef728c27,27afcd0a,901d777e,ea5bd35b,b750c9f6,b1881eb1,42fa3a2a,e1dd2140,aa69de9a,74319d87,4aa3e0fb,961d2a2a,b285fe60,70d321ab,8f58c61b,a0784592,66ec6e98,99d42954,f5be755c,df1f72b3,5eb1fd0a,9cb4bde4,c06f0561,e305ef99,37ad6039,d821b000,c8644807,83b4f56b,9cc3e015,e6f7673a,0845ec31,bbd28ff0,25273f10,aab61722,ef50a354,bd2d9c9d,e79f870c,57403f97,d0740966,a205a28a,7d4a7224,7728d06c,902c31ba,acbd1322,4765e13a,d31bfc7f,5a0c0f29,M1: Temporal FCR (Scaled),M2: + Bank Controls,M4: Full Model + Ownership,M3: + Network Controls,M1: Temporal FCR (Scaled),M1: Baseline (FCR Only),M5: Full + Stratified,a101fa1a,f3e49b22,152f5e46,M6: EPU Interactions (Crisis Adaptation),M5: Mechanism Horse Race + EPU Control,M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M6: EPU Interactions (Crisis Adaptation),M2: Tax Optimization (Stake Fragmentation),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),H3+ Enhanced (Capital & Diversification),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M5: Mechanism Horse Race + EPU Control,M4: Full Mechanism Horse Race,EPU Interactions (Full),M3: Internal Capital (Group Assets),EPU Interactions (Full),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),Sector Stratification,M10: H3++ Deep Structural Proxies,M2: Tax Optimization (Stake Fragmentation),M5: Mechanism Horse Race + EPU Control,M2: Tax Optimization (Stake Fragmentation),M3: Internal Capital (Group Assets),M1: Political Embeddedness (Regional Strata),M3: Internal Capital (Group Assets),M3: Internal Capital (Group Assets),Sector Stratification,M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M5: Mechanism Horse Race + EPU Control,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M5: Mechanism Horse Race + EPU Control,H3+ Enhanced (Capital & Diversification),M9: Full Mechanism + Community Stratification,M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),H3+ Enhanced (Capital & Diversification),M2: Tax Optimization (Stake Fragmentation),M2: Tax Optimization (Stake Fragmentation)
community_22462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363 (nan),0.363 (nan),0.246 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_22887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.017 (nan),3.017 (nan),2.435 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_23271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484 (nan),0.484 (nan),0.297 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_23283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.149 (nan),-0.149 (nan),-0.220 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_23390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.149 (nan),-0.149 (nan),-0.222 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_24958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.150 (nan),-0.150 (nan),-0.221 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_28707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.800 (nan),2.800 (nan),0.658 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_30627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.960 (nan),8.960 (nan),5.696 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_30701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.140 (nan),-0.140 (nan),-0.216 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_3214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.160 (nan),-0.160 (nan),-0.237 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_32273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 (nan),0.259 (nan),-0.031 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_37509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.327 (nan),7.327 (nan),3.052 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_37646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 (nan),0.194 (nan),0.142 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.187 (nan),-0.187 (nan),-0.256 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.136 (nan),-0.136 (nan),-0.209 (nan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network_in_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000 (0.000),,-0.000 (0.000),-0.000 (0.000),-0.000 (0.000),-0.000 (0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000 (0.000),-0.000* (0.000),,-0.000 (0.000),-0.000 (0.000),-0.000 (0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network_betweenness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000** (0.000),,-0.000* (0.000),,,,,,,,,-0.000+ (0.000),-0.000+ (0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network_C_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.092*** (0.009),,-0.109*** (0.009),,,,,,,,,-0.033*** (0.004),-0.035*** (0.004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_ownership_pct_x_crisis_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006 (0.009),,,-0.006 (0.009),,,,,,-0.006 (0.009),,,,-0.006 (0.009),,-0.006 (0.009),-0.006 (0.009),,,,-0.006 (0.009),,,-0.006 (0.009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign_ownership_total_pct_x_crisis_2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005 (0.023),,,,,-0.005 (0.023),,,,,,,,,-0.005 (0.023),,,,,,,,-0.005 (0.023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign_ownership_total_pct_x_crisis_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021 (0.013),0.020 (0.015),,0.020 (0.015),,0.021 (0.013),,,,,,,,,0.021 (0.013),0.020 (0.015),,,,0.020 (0.015),,,0.021 (0.013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_ownership_pct_x_crisis_2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003 (0.012),,,,,,,,,,-0.003 (0.012),,-0.003 (0.012),,,,,,,,-0.003 (0.012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign_ownership_total_pct_x_crisis_2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003 (0.066),,,,,,,,,,,,,,,,,-0.003 (0.066),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_connection_ratio_x_crisis_2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008 (0.028),,,,,,,,,,,,-0.008 (0.028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_connection_ratio_x_crisis_2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003 (0.008),-0.003 (0.008),,,-0.003 (0.008),,,,,,,,-0.003 (0.008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_connection_ratio_x_crisis_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008 (0.006),-0.008 (0.006),,-0.009 (0.006),-0.008 (0.006),-0.009 (0.006),,,-0.009 (0.006),-0.009 (0.006),,,-0.008 (0.006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_ownership_pct_x_crisis_2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002 (0.033),,,,,,,,,,-0.002 (0.033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_connection_ratio_temporal_lag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009 (0.014),0.012 (0.013),0.009 (0.014),0.009 (0.014),0.009 (0.014),0.011 (0.013),0.009 (0.014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_connection_ratio_temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007 (0.015),0.164*** (0.001),0.045*** (0.004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epu_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029 (0.024),0.027 (0.024),,,,,,,,,,0.029 (0.024),,,,0.029,,,,,,,,,,0.027,,0.027 (0.024),,0.027 (0.024),,,,,,0.027 (0.024),,,-0.014,,,,,,0.027 (0.024),,,0.027 (0.024),0.029 (0.024),,,,0.027 (0.024),,,,,-0.012,,,,
stake_fragmentation_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.128*** (0.023),-0.124*** (0.023),-0.142*** (0.022),,-0.125*** (0.023),-0.124*** (0.023),,-0.142*** (0.022),,-0.085**,,-0.128*** (0.023),-0.142*** (0.022),,-0.142*** (0.022),-0.128***,,-0.124*** (0.023),-0.125*** (0.023),,-0.125***,,-0.125*** (0.023),-0.125*** (0.023),,-0.124***,-0.125*** (0.023),-0.130*** (0.023),,-0.130*** (0.023),,-0.113***,,,-0.142*** (0.022),-0.034 (0.025),-0.114*** (0.023),-0.113***,-0.084**,-0.142*** (0.022),,,,,-0.034 (0.025),-0.125*** (0.023),-0.124*** (0.023),-0.124*** (0.023),-0.128*** (0.023),,-0.085**,-0.124*** (0.023),-0.124*** (0.023),-0.124*** (0.023),-0.082*** (0.024),,-0.125*** (0.023),-0.086**,,-0.124*** (0.023),-0.142*** (0.022),-0.142***
family_company_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.109*** (0.024),-0.106*** (0.024),,,-0.106*** (0.024),,,,,-0.127***,,-0.109*** (0.024),,-0.127*** (0.023),,-0.109***,-0.127*** (0.023),,-0.106*** (0.024),,-0.106***,,-0.106*** (0.024),-0.106*** (0.024),,-0.106***,-0.106*** (0.024),-0.110*** (0.024),-0.127*** (0.023),-0.110*** (0.024),-0.148***,,,,,,,,-0.127***,,-0.127*** (0.023),,-0.148***,-0.127*** (0.023),,-0.106*** (0.024),,-0.106*** (0.024),-0.109*** (0.024),-0.127*** (0.023),-0.127***,,-0.106*** (0.024),,,-0.127*** (0.023),-0.106*** (0.024),-0.133***,-0.127***,,,
family_connection_ratio:epu_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002 (0.020),,,,,,,,,,,0.002 (0.020),,,,0.002,,,,,,,,,,,,0.001 (0.020),,0.001 (0.020),,,,,,,,,,,,,,,,,,,0.002 (0.020),,,,,,,,,0.030,,,,
stake_fragmentation_index:epu_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027 (0.021),,,,,,,,,,,0.027 (0.021),,,,0.027,,,,,,,,,,,,0.025 (0.021),,0.025 (0.021),,,,,,,,,,,,,,,,,,,0.027 (0.021),,,,,,,,,0.027,,,,
family_company_count:epu_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010 (0.019),,,,,,,,,,,0.010 (0.019),,,,0.010,,,,,,,,,,,,0.008 (0.019),,0.008 (0.019),,,,,,,,,,,,,,,,,,,0.010 (0.019),,,,,,,,,0.054,,,,
group_total_capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.060* (0.024),,,,,,,,,,,,-0.060* (0.024),,,,,,,,,,,,,,,,,,-0.040 (0.024),,,,,,,,,-0.040 (0.024),,-0.060* (0.024),,,,,-0.060* (0.024),,-0.060* (0.024),-0.046+ (0.024),,,,,-0.060* (0.024),,
group_sector_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.077*** (0.023),,,,,,,,,,,,-0.077*** (0.023),,,,,,,,,,,,,,,,,,0.020 (0.026),-0.068** (0.023),,,,,,,,0.020 (0.026),,-0.077*** (0.023),,,,,-0.077*** (0.023),,-0.077*** (0.023),-0.047* (0.023),,,,,-0.077*** (0.023),,
group_total_paid_tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.065** (0.024),,,,,,,,,,,,,,,,,,,,,,,,,
group_total_vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.065** (0.024),,,,,,,,,,,,,,,,,,,,,,,,,
group_total_receipts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017 (0.024),,,,,,,,,,,,,,,,,,,,,,,,,
