variable,Model 5: +State,Model 1: Controls,Model 4: +Foreign,Model 2: +Network (RW),Model 3: +Family,Model 6: Full,Model 1: Controls,Model 6: Full,Model 3: +Foreign,Model 5: +Topology,Model 2: +Family,Model 4: +State,Model 1: Controls,Model 4: +State,Model 3: +Foreign,Model 6: Full,Model 5: +Topology,Model 2: +Family,Model 4: +Foreign,Model 3: +Family,Model 1: Controls,Model 2: +Network (RW),Model 5: +State,Model 6: Full
camel_tier1_capital_ratio,1.724*** (0.466),2.172*** (0.442),1.743*** (0.465),1.930*** (0.458),1.825*** (0.463),1.724*** (0.466),2.054*** (0.474),1.346* (0.528),1.948*** (0.484),1.382** (0.526),1.930*** (0.473),2.029*** (0.474),1.158*** (0.315),1.150*** (0.315),1.142*** (0.315),1.009** (0.315),1.033** (0.314),1.140*** (0.315),1.776** (0.541),1.845*** (0.530),2.236*** (0.495),1.964*** (0.524),1.756** (0.541),1.756** (0.541)
AIC Partial,9041.85,9300.41,9044.26,9147.58,9087.29,9041.85,,,,,,,9371.02,9371.57,9365.31,9261.15,9276.49,9348.75,,,,,,
-log2(p) LLR,290.43,119.33,291.26,223.62,263.53,290.43,,,,,,,69.13,66.80,71.16,137.48,132.38,82.72,,,,,,
C-index,0.765,0.642,0.764,0.715,0.744,0.765,,,,,,,0.644,0.651,0.668,0.780,0.772,0.698,,,,,,
const,,,,,,,-5.523*** (0.045),-4.809*** (0.055),-5.377*** (0.051),-4.865*** (0.055),-5.329*** (0.049),-5.499*** (0.049),,,,,,,-5.272*** (0.055),-5.320*** (0.054),-5.754*** (0.045),-5.459*** (0.054),-5.264*** (0.055),-5.264*** (0.055)
AIC,,,,,,,9520.59,9233.67,9434.37,9270.73,9454.13,9509.32,,,,,,,9669.60,9708.40,9889.64,9755.77,9668.24,9668.24
AUC,,,,,,,0.639,0.719,0.690,0.709,0.674,0.655,,,,,,,0.719,0.703,0.642,0.685,0.719,0.719
Optimal Threshold,,,,,,,0.018,0.015,0.022,0.025,0.019,0.018,,,,,,,0.027,0.020,0.015,0.024,0.027,0.027
Accuracy,,,,,,,0.985,0.982,0.988,0.989,0.986,0.985,,,,,,,0.992,0.990,0.988,0.992,0.993,0.993
Precision,,,,,,,0.035,0.032,0.041,0.044,0.036,0.035,,,,,,,0.046,0.036,0.030,0.042,0.047,0.047
Recall,,,,,,,0.070,0.089,0.059,0.058,0.065,0.070,,,,,,,0.045,0.058,0.065,0.047,0.044,0.044
F1 Score,,,,,,,0.047,0.047,0.049,0.050,0.046,0.047,,,,,,,0.046,0.044,0.041,0.044,0.045,0.045
network_betweenness,,,,,,,,-0.000** (0.000),,-0.000* (0.000),,,,,,-0.000+ (0.000),-0.000+ (0.000),,,,,,,
network_C_b,,,,,,,,-0.092*** (0.009),,-0.109*** (0.009),,,,,,-0.033*** (0.004),-0.035*** (0.004),,,,,,,
