variable,Model 5: +State,Model 1: Controls,Model 4: +Foreign,Model 2: +Network (RW),Model 3: +Family,Model 6: Full,Model 1: Controls,Model 6: Full,Model 3: +Foreign,Model 5: +Topology,Model 2: +Family,Model 4: +State,Model 1: Controls,Model 4: +State,Model 3: +Foreign,Model 6: Full,Model 5: +Topology,Model 2: +Family,Model 4: +Foreign,Model 3: +Family,Model 1: Controls,Model 2: +Network (RW),Model 5: +State,Model 6: Full
camel_tier1_capital_ratio,5.606*** (2.610),8.780*** (3.884),5.713*** (2.658),6.888*** (3.153),6.201*** (2.871),5.606*** (2.610),7.803*** (3.699),3.841* (2.028),7.018*** (3.393),3.984** (2.095),6.889*** (3.261),7.607*** (3.606),3.182*** (1.003),3.159*** (0.996),3.134*** (0.988),2.744** (0.863),2.809** (0.882),3.127*** (0.987),5.905** (3.192),6.331*** (3.354),9.358*** (4.632),7.125*** (3.730),5.789** (3.133),5.789** (3.133)
C-index,0.765,0.642,0.764,0.715,0.744,0.765,,,,,,,0.644,0.651,0.668,0.780,0.772,0.698,,,,,,
const,,,,,,,0.004*** (0.000),0.008*** (0.000),0.005*** (0.000),0.008*** (0.000),0.005*** (0.000),0.004*** (0.000),,,,,,,0.005*** (0.000),0.005*** (0.000),0.003*** (0.000),0.004*** (0.000),0.005*** (0.000),0.005*** (0.000)
AIC,,,,,,,9520.59,9233.67,9434.37,9270.73,9454.13,9509.32,,,,,,,9669.60,9708.40,9889.64,9755.77,9668.24,9668.24
AUC,,,,,,,0.639,0.719,0.690,0.709,0.674,0.655,,,,,,,0.719,0.703,0.642,0.685,0.719,0.719
Optimal Threshold,,,,,,,0.018,0.015,0.022,0.025,0.019,0.018,,,,,,,0.027,0.020,0.015,0.024,0.027,0.027
Accuracy,,,,,,,0.985,0.982,0.988,0.989,0.986,0.985,,,,,,,0.992,0.990,0.988,0.992,0.993,0.993
Precision,,,,,,,0.035,0.032,0.041,0.044,0.036,0.035,,,,,,,0.046,0.036,0.030,0.042,0.047,0.047
Recall,,,,,,,0.070,0.089,0.059,0.058,0.065,0.070,,,,,,,0.045,0.058,0.065,0.047,0.044,0.044
F1 Score,,,,,,,0.047,0.047,0.049,0.050,0.046,0.047,,,,,,,0.046,0.044,0.041,0.044,0.045,0.045
network_betweenness,,,,,,,,1.000** (0.000),,1.000* (0.000),,,,,,1.000+ (0.000),1.000+ (0.000),,,,,,,
network_C_b,,,,,,,,0.912*** (0.008),,0.897*** (0.008),,,,,,0.968*** (0.004),0.966*** (0.004),,,,,,,
