variable,Stargazer_Output_HR
camel_roa,0.903*** (0.011)
family_rho_F,0.966*** (0.007)
network_out_degree,0.616*** (0.055)
camel_npl_ratio,1.009*** (0.002)
camel_tier1_capital_ratio,1.020*** (0.005)
network_page_rank,0.984* (0.007)
Observations,44715
Subjects,796
Events,473
Log Likelihood,-2308.39
AIC Partial,4628.78
-log2(p) LLR,153.09
C-index,0.700
