variable,Stargazer_Output
family_connection_ratio,-0.092*** (0.023)
family_company_count,-0.127*** (0.023)
camel_roa,-0.062*** (0.008)
camel_npl_ratio,0.110*** (0.018)
camel_tier1_capital_ratio,0.101*** (0.021)
rw_out_degree_4q_lag,-0.044+ (0.024)
Observations,138896
Subjects,1092
Events,770
Log Likelihood,-4858.84
AIC Partial,9729.68
-log2(p) LLR,104.36
C-index,0.733
