variable,Stargazer_Output_HR
family_connection_ratio,0.6496*** (0.0501)
family_ownership_pct,0.9514 (0.0563)
state_ownership_pct,0.8238+ (0.0912)
foreign_ownership_total_pct,0.9703 (0.0539)
rw_page_rank_4q_lag,1.1599*** (0.0262)
rw_out_degree_4q_lag,0.4670*** (0.0673)
camel_roa,0.9320*** (0.0081)
camel_npl_ratio,1.2582*** (0.0228)
camel_tier1_capital_ratio,1.0955*** (0.0290)
Observations,139038
Subjects,1092
Events,770
Log Likelihood,-4609.82
AIC,9239.63
