variable,coefficient,std_error,t_statistic,p_value
const,0.3750252638136229,0.10067271439079598,3.725192730552914,0.00019516605213295825
survived_to_2020,0.0380436551922025,0.08400377924448203,0.4528802815106855,0.6506349504979156
camel_roa,-0.09262227575557128,0.0759465602372398,-1.219571702342283,0.22262727909828062
camel_npl_ratio,-0.0022720907871610747,0.0012337211492794875,-1.8416566729750976,0.06552538559218378
camel_tier1_capital_ratio,-0.41077862474887344,0.9150535429421389,-0.4489121187686041,0.6534950534894487
state_ownership_pct,-0.003693731081306644,0.0006198074284215252,-5.959481787292443,2.530390606780691e-09
foreign_ownership_total_pct,-7.486918515343228e-05,0.00027750240300973485,-0.26979652911620317,0.7873167932060365
rw_page_rank_4q_lag,0.003043181532069613,0.0027602533185583536,1.1025008145480755,0.27024400457541065
rw_out_degree_4q_lag,0.0024720203406782106,0.008429977611895807,0.2932416258365698,0.7693374690066171
