covariate,Stargazer_Output
family_connection_ratio,0.926***
epu_index,1.029
stake_fragmentation_index,0.879***
family_company_count,0.897***
camel_roa,0.941***
camel_npl_ratio,1.112***
camel_tier1_capital_ratio,1.107***
rw_out_degree_4q_lag,0.956*
family_connection_ratio:epu_index,1.002
stake_fragmentation_index:epu_index,1.027
family_company_count:epu_index,1.010
