covariate,Stargazer_Output
family_connection_ratio,0.908**
stake_fragmentation_index,0.919**
family_company_count,0.881***
epu_index,0.986
camel_roa,0.887***
camel_npl_ratio,1.065**
camel_tier1_capital_ratio,1.126***
rw_out_degree_4q_lag,0.925*
